name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Drew Baker,2.0065999999999997,97.0704,Forward,8.5,1,7.6,0.8,1.3,0.591,0.8,1.3,0.591,0,0,0,0.5,1.5,0.32,0.2,0.4,0.3,2,0.8,1.1,1.9,0.8,2,2010,2012,FALSE
Dusty Baker,1.9304,88.452,Guard,33,5.666666666666667,20.7,2,4.3,0.457,0.8,1.8,0.437,1.2,2.5,0.471,1.7,2.1,0.842,2.3,0.6,0.1,6.8,0.4,2.5,2.9,1.2,3,2016,2018,FALSE
Evann Baker,1.905,83.916,Guard,18.5,5.5,22.5,2.6,5.9,0.442,2.2,5,0.435,0.4,0.9,0.485,2.5,3,0.82,2,0.7,0.2,8.1,0.8,2,2.7,1.8,2,2008,2010,FALSE
Ian Baker,1.8288,81.648,Guard,30,25,28.8,3.7,8.8,0.418,2,4.3,0.47,1.7,4.5,0.369,2.7,3.4,0.799,3.1,1.2,0.1,11.8,0.4,2.9,3.3,2,4,2014,2017,FALSE
Isaiah Baker,2.032,108.864,Forward,6.25,0,2.9,0.1,0.3,0.25,0.1,0.3,0.25,0,0,0,0.1,0.4,0.3,0.1,0,0.2,0.3,0.2,0.4,0.6,0.2,4,2013,2016,FALSE
Jeremy Baker,1.8796,95.256,Guard,22.5,17.5,27.8,2.9,6.3,0.46,2.5,5,0.502,0.4,1.3,0.293,3,4,0.749,1.2,0.7,0.2,9.2,1.7,3,4.7,1.6,2,2009,2010,FALSE
John Baker,1.9558,101.1528,Forward,19,0,6.7,0.7,1.4,0.472,0.7,1.4,0.472,0,0,0,0.6,0.8,0.677,0,0.1,0.1,1.9,0.5,1.1,1.6,0.2,2,2014,2015,FALSE
Kevin Baker,1.8796,81.648,Guard,35,27,24.5,2.2,7.1,0.306,0.5,1.6,0.309,1.7,5.5,0.305,1.5,2.1,0.705,3.1,1,0,7.5,0.3,2.3,2.6,1.8,2,2017,2018,FALSE
Marquis Baker,1.8796,90.72,Guard,13.5,11.5,33,4.7,14,0.336,2.4,5.9,0.411,2.3,8.1,0.282,3.7,5.1,0.717,1.7,1.3,0.2,15.4,0.7,2.7,3.4,2.4,2,2012,2013,FALSE
Marquiz Baker,1.8796,88.452,Guard,28,25,28.3,4.6,13.6,0.335,2.5,7.8,0.324,2,5.8,0.35,4.7,6,0.78,1.1,1.6,0,15.9,1,2.3,3.4,2.3,1,2011,2011,FALSE
Melvin Baker,2.0065999999999997,97.524,Forward,33,26.5,22.6,3.6,7.5,0.486,3.4,6.7,0.508,0.2,0.8,0.294,1.8,2.6,0.702,0.8,0.7,0.8,9.3,1.6,3.4,5,1.8,2,2011,2012,FALSE
Reed Baker,1.8541999999999998,81.648,Guard,20.4,12,22.2,3.1,8.7,0.354,1.6,4.3,0.382,1.4,4.4,0.327,2.4,2.8,0.85,1.5,0.8,0,10,0.4,1.5,1.9,2,5,2007,2011,FALSE
Reggie Baker,1.9304,83.916,Guard,32,25,31.1,4.9,12.9,0.38,3.5,8.3,0.426,1.4,4.6,0.297,2.3,2.9,0.785,1.7,0.8,0.1,13.5,1.1,3.5,4.6,1.6,1,2017,2017,FALSE
Reynaul Baker,1.8796,79.38,Guard,24,1,20,1.6,4,0.411,1.6,3.8,0.418,0,0.2,0.25,1,1.5,0.639,1.7,0.9,0.2,4.3,0.8,0.7,1.5,1,1,2011,2011,FALSE
Ron Baker,1.9304,99.792,Guard,31,30.25,30.6,4.2,9.7,0.433,2.3,4.4,0.509,2,5.3,0.369,2.8,3.5,0.801,2.8,1.3,0.6,13.2,0.8,3.4,4.2,1.4,4,2013,2016,FALSE
Ryan Baker,1.9558,90.72,Guard,23,0.3333333333333333,7.6,0.6,1.5,0.426,0.3,0.4,0.581,0.4,1,0.357,0.2,0.3,0.739,0.2,0.2,0,1.9,0.4,0.6,0.9,0.2,3,2010,2012,FALSE
Sam Baker,1.9304,99.792,Guard,32,2,14.4,1.6,4,0.388,0.2,0.4,0.5,1.3,3.6,0.374,0.2,0.2,1,0.8,0.5,0,4.7,0.1,1.1,1.2,0.8,1,2020,2020,FALSE
Steve Baker,1.8796,86.184,Guard,31,17,24.9,2.6,6.1,0.426,1.6,3.8,0.429,1,2.3,0.423,0.7,1.1,0.667,1.6,0.7,0.1,6.9,1.3,2.3,3.5,1.5,2,2011,2012,FALSE
Tony Baker,1.8541999999999998,81.648,Guard,4,0,1.8,0,0.3,0,0,0.3,0,0,0,0,1,1,1,0,0,0,1,0.3,0.3,0.5,0,1,2011,2011,FALSE
Travon Baker,1.778,77.112,Guard,31.5,25,26.2,2.3,6.9,0.338,1.2,3.2,0.373,1.2,3.7,0.309,2.1,2.9,0.732,2.8,1.5,0.1,7.9,0.4,1.9,2.3,2,4,2013,2016,FALSE
Tyler Baker,2.0574,97.524,Forward,15.5,1.25,12.7,1.4,3.4,0.42,0.8,1.5,0.49,0.7,1.9,0.362,1,1.2,0.836,0.7,0.4,0.2,4.5,0.7,1.9,2.5,0.9,4,2007,2010,FALSE
Wheeler Baker,1.8796,79.38,Guard,30,1,13.9,1.9,4.8,0.392,0.7,1.7,0.42,1.2,3.1,0.376,0.7,1,0.724,0.4,0.3,0.1,5.6,0.2,1.2,1.4,0.9,1,2015,2015,FALSE
Radwan Bakkali,2.0827999999999998,113.4,Center,28,12,10.9,1.3,2.9,0.427,1.2,2.8,0.429,0.1,0.2,0.4,0.8,1,0.786,0.4,0.1,0.1,3.4,0.8,1.6,2.4,1.2,1,2018,2018,FALSE
Felix Balamou,1.9304,87.0912,Guard,20,5.5,13.6,1.3,3.3,0.407,1.3,3.2,0.414,0,0.1,0.143,0.7,1,0.642,1,0.4,0.2,3.3,0.7,1.1,1.8,0.9,4,2013,2016,FALSE
Dogus Balbay,1.8541999999999998,79.38,Guard,32.333333333333336,23.666666666666668,20.5,1.5,3.1,0.5,1.5,2.9,0.521,0,0.2,0.125,0.6,1.3,0.512,3,1,0.4,3.7,0.9,1.8,2.7,1.3,3,2009,2011,FALSE
Brendan Bald,1.9558,90.72,Guard,34,23,20.4,2.6,7.1,0.364,1.8,4.5,0.392,0.8,2.6,0.316,1.1,1.7,0.659,0.7,0.5,0.1,7.1,0.5,1.2,1.8,1.2,3,2010,2012,FALSE
Corey Baldwin,1.905,86.184,Guard,32.5,30,24.9,3,7.2,0.422,1.1,2.3,0.474,1.9,4.9,0.397,1,1.7,0.613,1.2,1.1,0.2,9.1,0.6,3,3.6,1.2,2,2016,2017,FALSE
Diante Baldwin,1.8288,82.1016,Guard,31,22.75,28.2,3.6,8.5,0.425,2.9,6.5,0.449,0.7,2,0.346,2,3.1,0.642,3.5,1.4,0.3,9.9,0.9,2.8,3.7,2.1,4,2014,2017,FALSE
Illiwa Baldwin,2.1082,117.936,Center,12,0,12.2,1.3,2.4,0.552,1.3,2.4,0.552,0,0,0,0.7,1.1,0.615,0.3,0.2,0.3,3.3,0.9,1.3,2.3,0.8,1,2011,2011,FALSE
Kamar Baldwin,1.8541999999999998,86.184,Guard,33.25,30.25,31.7,5.6,12.6,0.446,4.3,8.7,0.496,1.3,3.8,0.333,2.2,2.7,0.817,2.7,1.5,0.5,14.7,0.5,4.1,4.5,2.1,4,2017,2020,FALSE
Sherrod Baldwin,1.8288,88.452,Guard,25.25,3,13.5,1.2,3.1,0.376,0.9,2.3,0.379,0.3,0.8,0.367,0.4,0.6,0.667,0.7,0.4,0,3,0.3,0.7,1,0.8,4,2009,2013,FALSE
Wade Baldwin IV,1.905,88.452,Guard,34,27,29.6,3.4,8,0.431,2.2,5.1,0.436,1.2,2.9,0.422,3.5,4.4,0.8,4.8,1.3,0.2,11.6,0.4,3.6,4.1,2.3,2,2015,2016,TRUE
D.J. Balentine,1.8796,95.256,Guard,34.75,26,33.4,5.9,13.7,0.431,4,8.7,0.464,1.9,5.1,0.375,4,5,0.792,3.4,0.6,0.2,17.7,0.5,2.2,2.7,2.1,4,2013,2016,FALSE
Vuk Baletic,2.0574,102.06,Forward,8,0,1.8,0,0.4,0,0,0.4,0,0,0,0,0,0.3,0,0.1,0,0,0,0.1,0.5,0.6,0,1,2014,2014,FALSE
Matt Balkema,2.0827999999999998,128.3688,Center,26.5,7.5,12.8,1.2,2.8,0.418,1.2,2.7,0.422,0,0,0,0.8,1.4,0.529,0.3,0.3,0.1,3.1,1.2,1.4,2.6,0.7,4,2010,2013,FALSE
Aubrey Ball,1.905,83.916,Guard,28,2,12.4,1.7,4.5,0.378,0.5,1.7,0.313,1.2,2.8,0.418,0.8,1.2,0.676,0.7,0.3,0,5.4,0.2,1,1.2,0.6,1,2014,2014,FALSE
Gordon Ball,2.032,108.864,Forward,27,0.5,9,1.3,2.4,0.53,1.3,2.4,0.551,0,0.1,0,0.4,0.6,0.629,0.4,0.3,0.1,3,0.9,1.9,2.8,0.8,2,2012,2014,FALSE
Lonzo Ball,1.9811999999999999,86.184,Guard,36,36,35.1,5.3,9.5,0.551,3,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,7.6,1.8,0.8,14.6,0.9,5.1,6,2.5,1,2017,2017,TRUE
Antonio Ballard,1.9304,100.6992,Guard,17.8,11.8,24.1,2.6,5.3,0.486,2.1,3.8,0.557,0.4,1.4,0.297,1.6,2.4,0.686,1.1,0.6,0.3,7.2,1.6,3.3,5,1.3,5,2007,2011,FALSE
Deaundrae Ballard,1.9558,82.1016,Guard,19.666666666666668,0.3333333333333333,11.2,1.6,3.9,0.399,1.2,2.3,0.496,0.4,1.6,0.26,0.5,0.7,0.738,0.3,0.4,0.1,4.1,0.6,1.1,1.7,0.6,3,2018,2020,FALSE
Dominic Ballard,1.9304,90.2664,Guard,11,0,4,0.1,0.4,0.25,0.1,0.4,0.25,0,0,0,0.1,0.1,1,0.5,0.1,0,0.3,0,0.4,0.5,0.2,2,2013,2014,FALSE
Matt Ballard,2.032,99.792,Center,29,13,19.5,0.5,1.5,0.316,0.5,1.5,0.321,0,0,0,0.6,1,0.628,0.4,0.3,0.3,1.6,1.2,2.3,3.5,0.4,3,2008,2012,FALSE
Michael Ballard,1.9304,91.6272,Guard,6.666666666666667,0,1.3,0.1,0.3,0.2,0.1,0.1,0.5,0,0.2,0,0.2,0.2,1,0,0,0,0.3,0.1,0.1,0.2,0,3,2018,2020,FALSE
Travis Ballard,1.778,79.38,Guard,12.5,1,2.9,0.1,0.3,0.25,0,0.2,0,0.1,0.2,0.5,0,0.1,0.333,0,0.2,0,0.3,0.1,0.2,0.3,0.1,2,2012,2013,FALSE
Daveon Balls,1.8288,77.112,Guard,30.5,6.5,19,1.2,4.1,0.293,0.8,2.5,0.325,0.4,1.6,0.242,0.9,1.1,0.8,1.6,0.7,0,3.7,0.3,1.6,1.9,1.5,2,2013,2014,FALSE
Petras Balocka,2.032,113.4,Center,16.75,7.5,18.8,2.3,5.7,0.409,2.1,4.8,0.443,0.2,0.9,0.224,2.1,3.4,0.623,1.4,0.3,0.2,7,2.2,3.8,5.9,1.9,4,2007,2010,FALSE
Ezekiel Balogun,1.9811999999999999,107.9568,Forward,21.75,1,9.5,1.6,3.1,0.511,1.3,2.3,0.557,0.3,0.8,0.384,0.6,1.2,0.549,0.3,0.4,0.5,4.2,1.1,1.9,3.1,0.9,4,2017,2020,FALSE
Mike Balogun,1.8796,77.112,Guard,26,0,8.2,0.9,2.6,0.353,0.3,0.4,0.636,0.7,2.2,0.298,0.5,0.6,0.867,0.4,0.2,0,3,0.1,0.5,0.5,0.2,1,2014,2014,FALSE
Ivo Baltic,2.0574,97.0704,Forward,35.75,22,22.4,3.1,6.3,0.491,3,5.9,0.503,0.1,0.4,0.294,1.2,1.9,0.624,1.2,0.8,0.3,7.5,1.3,3.4,4.7,1.7,4,2010,2013,FALSE
Conroy Baltimore,1.9811999999999999,95.256,Forward,17.25,0.5,7.9,0.8,1.6,0.473,0.8,1.6,0.473,0,0,0,0.5,0.7,0.696,0.1,0.2,0.3,2,0.9,1.3,2.2,0.5,4,2012,2015,FALSE
John Balwigaire,1.8796,83.916,Guard,31,3,18.6,1.5,4,0.371,0.7,1.8,0.393,0.8,2.2,0.353,0.5,0.7,0.739,1,0.7,0,4.3,0.3,1,1.2,0.7,1,2012,2012,FALSE
Amidou Bamba,2.0574,115.668,Forward,32.5,16.5,16.5,2.3,4.1,0.573,2.3,4.1,0.573,0,0,0,0.8,1.6,0.5,0.5,0.2,0.7,5.5,1.3,2.5,3.8,1,4,2017,2020,FALSE
Mohamed Bamba,2.1082,102.06,Forward,30,29,30.2,4.9,9,0.541,4.4,7.3,0.603,0.5,1.7,0.275,2.7,4,0.681,0.5,0.8,3.7,12.9,3.2,7.3,10.5,1.5,1,2018,2018,TRUE
Tiegbe Bamba,1.9811999999999999,92.988,Forward,27,20,30.4,4.1,7.5,0.55,3.6,6,0.595,0.5,1.4,0.359,2.9,4.1,0.688,1.1,1.2,0.2,11.6,1.9,4.9,6.8,1.7,1,2015,2015,FALSE
Scott Bamforth,1.8796,86.184,Guard,33,30,30.6,4.2,9,0.464,1.6,3.2,0.495,2.6,5.8,0.446,2.6,3,0.866,2.5,0.8,0,13.6,0.3,2.9,3.2,1.6,3,2011,2013,FALSE
Matt Banas,2.0574,92.988,Forward,5.5,0.25,3.1,0.2,0.5,0.417,0.2,0.5,0.455,0,0,0,0.1,0.2,0.4,0.1,0.1,0,0.5,0.4,0.1,0.5,0.1,4,2013,2016,FALSE
Max Banchy,1.905,81.648,Guard,25,4,14.2,1,2.5,0.381,0.4,0.8,0.474,0.6,1.8,0.341,0.2,0.2,0.8,0.4,0.4,0,2.7,0.3,0.8,1.1,1.1,1,2013,2013,FALSE
Ted Bancroft,1.9811999999999999,97.524,Guard,18.6,0.4,6.1,0.2,0.7,0.275,0.1,0.3,0.458,0.1,0.5,0.178,0.1,0.2,0.409,0.2,0.3,0,0.6,0.3,0.6,0.9,0.3,5,2011,2015,FALSE
Devonte Bandoo,1.905,83.916,Guard,32,5,23.3,2.8,6.7,0.418,1.4,3.1,0.449,1.4,3.6,0.391,1,1.2,0.831,1.4,0.6,0.1,8,0.7,2.2,2.8,1.3,2,2019,2020,FALSE
Djim Bandoumel,2.032,97.524,Forward,20,13.5,22,2.9,5.7,0.515,2.9,5.7,0.515,0,0,0,1.5,2.4,0.642,1,0.1,1.4,7.4,1.5,3.1,4.5,1.2,2,2011,2012,FALSE
Desmond Bane,1.9811999999999999,97.524,Guard,35.25,28.5,30.3,4.7,9.4,0.495,2.9,5.4,0.542,1.8,4.1,0.433,1.5,1.9,0.804,2.4,0.9,0.4,12.7,1,3.7,4.7,1.6,4,2017,2020,TRUE
Marco Banegas-Flores,1.8541999999999998,86.184,Guard,26,10,15.9,1.1,3,0.359,0.7,1.9,0.361,0.4,1.1,0.354,0.9,1.4,0.688,1.3,0.9,0,3.5,0.2,1.1,1.4,1.4,4,2012,2015,FALSE
Louis Bangai,2.0827999999999998,104.328,Center,14,0,3.3,0.1,0.4,0.167,0.1,0.4,0.167,0,0,0,0.2,0.6,0.375,0.1,0,0.1,0.4,0.4,0.4,0.7,0.2,1,2020,2020,FALSE
Vishal Banipal,1.8796,86.184,Guard,9,0,4.4,0.2,1,0.222,0,0.1,0,0.2,0.9,0.25,0,0.2,0,0.3,0.1,0,0.7,0,0.2,0.2,0,1,2012,2012,FALSE
Evaldas Baniulis,2.0065999999999997,95.256,Forward,28.75,6.75,16.3,1.5,3.9,0.396,0.4,1,0.392,1.1,2.9,0.397,0.4,0.6,0.612,0.7,0.4,0.1,4.6,0.5,1.7,2.2,0.8,4,2007,2010,FALSE
Blair Banker,2.032,99.792,Forward,7,0,1.6,0,0.1,0,0,0.1,0,0,0,0,0.1,0.3,0.5,0,0,0,0.1,0.1,0,0.1,0,1,2012,2012,FALSE
A.J. Banks,1.8796,73.9368,Guard,32.5,24,23.7,1.7,3.5,0.498,1.4,2.4,0.557,0.4,1,0.358,1.2,1.7,0.722,1.6,0.8,0.4,5,0.3,2.5,2.8,1.6,2,2019,2020,FALSE
Anthony Banks,1.9811999999999999,95.256,Forward,29.5,29.5,29.2,5.4,10.3,0.524,5.4,10.2,0.526,0,0,0,3,4.6,0.662,0.8,0.9,0.6,13.8,3.5,3,6.5,1.9,2,2010,2011,FALSE
Brant Banks,2.0065999999999997,136.08,Forward,1,0,3,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2020,2020,FALSE
Channel Banks,1.9304,85.2768,Guard,31.5,21,26.2,2.9,7,0.411,1,2.2,0.471,1.9,4.8,0.384,1,1.5,0.653,1.1,1,0.2,8.6,0.4,2.4,2.8,1,2,2019,2020,FALSE
Derrick Banks,1.8034,77.112,Guard,8,0,5.3,0.3,1.1,0.278,0,0.3,0,0.3,0.9,0.357,0.2,0.3,0.75,0.1,0.1,0,1.1,0.3,0.3,0.6,0.6,2,2011,2012,FALSE
Dwayne Banks,1.778,81.648,Guard,19.5,0.5,7.5,0.3,1.2,0.267,0.1,0.5,0.238,0.2,0.6,0.292,0.3,0.4,0.786,0.7,0.2,0,1.1,0.3,0.4,0.7,1.1,2,2018,2019,FALSE
Isaac Banks,2.0065999999999997,97.524,Forward,30.5,11.5,16.8,1.6,2.7,0.586,1.5,2.6,0.589,0,0,0.333,0.6,1.2,0.476,0.5,0.3,0.6,3.7,1.5,2.7,4.1,0.8,4,2014,2017,FALSE
James Banks III,2.0827999999999998,113.4,Forward,27,13.75,21.7,2.4,4.6,0.533,2.4,4.6,0.534,0,0,0,1.5,2.4,0.633,0.8,0.5,1.9,6.4,1.9,3.5,5.4,1.5,4,2017,2020,FALSE
Justin Banks,2.159,97.524,Center,23,11.75,14.1,1.5,2.6,0.57,1.5,2.5,0.575,0,0,0,0.7,0.9,0.753,0.2,0.1,0.8,3.6,1.2,2.7,3.9,0.8,4,2011,2014,FALSE
Miles Banks,2.0574,108.864,Center,13,7,19.5,1.7,3.6,0.468,1.7,3.6,0.468,0,0,0,0.5,1.6,0.333,0.8,0.2,0.2,3.9,2,4.2,6.2,1.1,1,2017,2017,FALSE
Payton Banks,1.9811999999999999,99.792,Forward,30.5,17.25,23.4,2.8,7.5,0.367,1.2,3.1,0.408,1.5,4.5,0.339,1.3,1.7,0.746,0.9,0.7,0.2,8.3,0.6,2.3,2.9,1.1,4,2015,2018,FALSE
Rae-Vonn Banks,2.032,99.792,Forward,20,0,9.6,0.9,1.6,0.523,0.9,1.6,0.523,0,0,0,0.4,0.8,0.5,0.1,0.4,0.4,2.1,0.8,1,1.8,0.5,2,2010,2011,FALSE
Romelo Banks,2.1082,106.596,Center,33.333333333333336,22.666666666666668,17,2.2,4.1,0.519,2.2,4.1,0.519,0,0,0,1.2,2.5,0.498,0.2,0.2,0.9,5.5,1.4,2.3,3.6,1,3,2014,2017,FALSE
Trelun Banks,1.8541999999999998,77.112,Guard,33.25,30,31.4,3.5,10,0.352,2.3,6.3,0.37,1.2,3.6,0.32,2.4,3.6,0.661,3.2,1,0.1,10.6,0.5,2.2,2.7,2.6,4,2014,2017,FALSE
Trevor Banks,2.032,99.792,Center,9,9,17.3,1.9,4,0.472,1.9,4,0.472,0,0,0,1.1,2.1,0.526,0.1,0.3,0.2,4.9,1.4,1.9,3.3,0.9,1,2019,2019,FALSE
Sam Bannec,1.905,81.648,Guard,8,0,2,0.3,0.3,1,0.1,0.1,1,0.1,0.1,1,0.1,0.3,0.5,0.1,0,0,0.8,0.1,0.3,0.4,0.1,1,2019,2019,FALSE
Devonte Banner,1.8541999999999998,74.844,Guard,26.5,1.5,8.3,0.8,1.9,0.398,0.3,0.7,0.41,0.5,1.2,0.391,0.2,0.6,0.419,0.6,0.3,0,2.3,0.2,0.7,0.9,0.4,2,2015,2016,FALSE
Vassy Banny,1.905,104.328,Forward,24.5,2,8.6,0.4,1.1,0.407,0.4,0.9,0.435,0,0.2,0.25,0.4,0.8,0.514,0.4,0.4,0,1.3,0.7,1.6,2.3,0.8,2,2009,2010,FALSE
Nick Banyard,2.032,99.792,Forward,24.6,5.8,17.1,1.3,3.4,0.396,0.9,2.2,0.403,0.5,1.2,0.384,0.5,1,0.537,0.7,0.3,0.2,3.7,0.9,2.7,3.5,1.1,5,2013,2017,FALSE
Carl Baptiste,2.0574,117.936,Forward,23,8.8,17.3,2.2,3.9,0.554,2.2,3.8,0.564,0,0.1,0.182,0.9,1.4,0.665,0.3,0.3,0.7,5.3,1.3,2.9,4.2,1,5,2010,2014,FALSE
Djery Baptiste,2.0827999999999998,111.132,Center,27.75,6,12.2,0.9,1.9,0.495,0.9,1.9,0.495,0,0,0,0.5,0.9,0.594,0.1,0.2,0.8,2.4,1.1,1.8,2.9,0.7,4,2017,2020,FALSE
Sean Baptiste,1.905,83.916,Guard,27.75,19.5,29.7,4.7,10.7,0.435,3.3,6.8,0.484,1.4,3.9,0.347,3,4.2,0.716,0.9,1,0.2,13.7,1.6,3.3,4.9,1.6,4,2007,2010,FALSE
Koch Bar,2.1082,104.328,Center,33,24.25,20,2.1,4.1,0.496,2.1,4.1,0.496,0,0,0,1.6,2.3,0.675,0.6,0.4,1,5.7,1.9,3.2,5.1,1.4,4,2017,2020,FALSE
Glenn Baral,1.905,92.988,Guard,28,0,11.4,0.9,3.2,0.278,0.3,1,0.296,0.6,2.3,0.27,0.1,0.2,0.6,0.4,0.4,0,2.5,0.1,0.8,0.9,0.4,1,2014,2014,FALSE
Peter Barba,1.9558,89.8128,Guard,12.25,0.5,9.7,0.8,2,0.398,0.2,0.6,0.407,0.6,1.4,0.394,0.1,0.1,0.75,0.6,0.2,0.1,2.2,0.2,0.9,1.1,0.2,4,2016,2019,FALSE
DeAndre Barber,1.8796,83.916,Guard,19.5,0,7.5,0.3,0.6,0.44,0.2,0.3,0.462,0.1,0.3,0.417,0.1,0.2,0.5,0.7,0.2,0,0.8,0,0.4,0.4,0.3,2,2015,2016,FALSE
Raven Barber,2.032,99.792,Forward,27.75,16.75,19.1,2.6,4.4,0.585,2.6,4.4,0.585,0,0,0,1.5,2.4,0.601,0.3,0.2,0.4,6.6,1.2,2.1,3.2,1.3,4,2010,2013,FALSE
Shaquille Barber,1.905,86.184,Guard,13.666666666666666,0.3333333333333333,17.4,1.7,4.6,0.374,1.5,3.7,0.42,0.2,0.9,0.189,0.7,1.2,0.592,0.7,0.4,0.2,4.3,0.7,1.3,2,1.4,3,2010,2012,FALSE
Brian Barbour,1.8541999999999998,79.38,Guard,26.5,20.5,29.7,3.4,8.5,0.394,2.4,5.5,0.433,1,3,0.323,3.8,4.2,0.897,3.3,1.2,0.1,11.5,0.3,1.8,2.1,1.5,4,2010,2013,FALSE
George Barbour,2.0065999999999997,99.792,Forward,14.666666666666666,2,9.7,1,2.7,0.393,1,2.7,0.393,0,0,0,0.8,1.6,0.486,0.3,0.3,0.4,2.9,0.8,0.9,1.7,0.6,3,2008,2010,FALSE
Nick Barbour,1.905,79.38,Guard,29.75,23.5,29.6,5.5,13.3,0.417,2.9,6.7,0.431,2.6,6.6,0.403,4.1,5.2,0.785,1.2,1.1,0.3,17.8,0.7,2.2,2.9,2.2,4,2009,2012,FALSE
Bret Barclay,1.9811999999999999,95.256,Forward,29,0,5.1,0.4,0.9,0.407,0.3,0.8,0.417,0,0.1,0.333,0.2,0.2,0.833,0.1,0.1,0.1,1,0.4,0.5,0.9,0.3,1,2015,2015,FALSE
Derrick Barden,1.9558,102.06,Forward,31.5,31,31.3,5.4,9.7,0.56,4.9,8.5,0.581,0.5,1.3,0.418,2.4,3.7,0.665,1.1,1.3,0.5,13.8,3,5.3,8.3,1.3,2,2013,2014,FALSE
Mike Bardo,2.0827999999999998,108.864,Center,34,4.5,10.5,0.5,1.1,0.497,0.5,1.1,0.497,0,0,0,0.3,0.7,0.461,0.3,0.2,0.4,1.4,0.8,1.1,1.9,0.4,4,2008,2011,FALSE
Sedrick Barefield,1.8796,86.184,Guard,23,13.75,27.1,3.9,9.6,0.406,1.9,4.3,0.443,2,5.3,0.376,2.4,2.9,0.811,2.7,0.8,0,12.2,0.3,1.7,2,2,4,2016,2019,FALSE
Martynas Bareika,1.9558,97.524,Guard,24.5,6,13.5,1.7,4.4,0.384,0.9,1.9,0.455,0.8,2.5,0.329,0.9,1.4,0.677,0.6,0.3,0,5.1,0.6,1.4,2,1.1,4,2012,2015,FALSE
Jaylen Barford,1.905,91.6272,Guard,35.5,32.5,28.3,5.6,12.3,0.455,4,7.9,0.5,1.6,4.4,0.374,2.5,3.4,0.735,2.3,1.1,0.2,15.3,1,2.8,3.8,1.9,2,2017,2018,FALSE
Charles Bargman,2.0065999999999997,97.524,Forward,19,6,10.1,0.3,1.7,0.188,0,0.8,0,0.3,0.9,0.353,0.2,0.3,0.667,0.3,0.6,0.1,1.2,0.4,0.7,1.1,0.5,1,2015,2015,FALSE
Andrew Bargmann,1.905,81.648,Guard,9.5,1,6.6,0.5,1.1,0.452,0.3,0.4,0.667,0.2,0.7,0.333,0.3,0.4,0.786,0.3,0.3,0,1.5,0.1,0.7,0.8,0.3,4,2014,2017,FALSE
Drew Barham,1.9811999999999999,83.916,Guard,22.6,3.6,10.3,1.2,2.9,0.415,0.3,0.6,0.423,0.9,2.3,0.412,0.3,0.5,0.615,0.3,0.4,0.2,3.6,0.6,1.2,1.8,0.3,5,2010,2014,FALSE
Jordan Barham,1.9304,86.184,Guard,30,6,13.7,2.8,4.9,0.576,2.7,4.7,0.589,0.1,0.3,0.355,1.5,2.4,0.606,0.6,0.3,0.2,7.2,1.1,2.5,3.6,0.6,4,2013,2016,FALSE
Marcus Barham,1.9304,81.648,Guard,30.5,30,33.5,4.8,12.4,0.389,2.3,5.6,0.412,2.5,6.8,0.37,2.7,3.5,0.765,1.9,1,0.3,14.8,0.9,3.1,4,2.5,2,2017,2018,FALSE
Callum Barker,2.0574,111.132,Forward,24.333333333333332,9.666666666666666,14.1,1.1,2.4,0.466,1.1,2.1,0.52,0,0.3,0.125,0.8,1.3,0.625,0.2,0.3,0.3,3.1,0.9,1.8,2.7,1,3,2016,2018,FALSE
Riley Barker,2.0827999999999998,108.864,Center,22.4,1.2,14.2,1.3,2.8,0.466,1.3,2.7,0.472,0,0.1,0.3,0.8,1.2,0.637,0.3,0.4,0.8,3.4,1.2,2,3.2,0.7,5,2011,2015,FALSE
Joel Barkers,1.9811999999999999,102.06,Forward,29,7,21.4,3.1,7.2,0.433,3.1,7.1,0.43,0,0,1,2.4,4.2,0.561,0.7,0.4,0.2,8.6,1.8,2.8,4.6,1.6,1,2010,2010,FALSE
Cordero Barkley,1.9558,90.72,Forward,31.25,0.75,12.9,0.8,2.1,0.39,0.6,1.4,0.444,0.2,0.7,0.274,0.7,1,0.688,0.7,0.4,0.2,2.5,0.7,1.3,2,0.6,4,2006,2010,FALSE
Kentrell Barkley,1.9558,92.988,Guard,29,21,30.8,3.9,8.8,0.438,2.9,5.9,0.493,1,2.9,0.329,3.1,4.6,0.673,2.6,1.2,0.5,11.8,1.8,5.3,7,2.1,3,2016,2018,FALSE
Spencer Barks,2.0574,102.06,Forward,6.5,0,1.7,0,0.3,0,0,0.3,0,0,0,0,0.3,0.5,0.583,0,0,0,0.3,0.1,0.2,0.3,0.1,4,2012,2015,FALSE
C.J. Barksdale,2.032,104.328,Forward,28,13.333333333333334,17.4,2,3.9,0.495,1.8,3.6,0.51,0.1,0.4,0.355,1.1,1.4,0.777,0.5,0.3,0.5,5.2,1.4,2.4,3.8,0.7,3,2012,2014,FALSE
