name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Brian Ishola,1.9558,95.256,Guard,16.5,0.5,5.8,0.2,0.6,0.4,0.2,0.6,0.421,0,0,0,0.3,0.4,0.75,0.1,0.1,0,0.8,0.2,0.5,0.7,0.2,2,2015,2016,FALSE
Leroy Isler,1.9558,92.5344,Guard,31,28.5,26.5,2.3,5.9,0.394,1.8,4.4,0.422,0.5,1.5,0.312,2.2,3,0.723,1.2,0.9,0.1,7.3,1.2,2.1,3.3,1.8,2,2013,2014,FALSE
Ahmed Ismail,2.159,117.936,Center,21,9.666666666666666,17.3,2.2,3.9,0.564,2.1,3.7,0.567,0.1,0.2,0.5,1.5,2.2,0.66,0.5,0.2,0.8,5.9,1.8,3.2,5,1.6,3,2017,2019,FALSE
Mareik Isom,2.0065999999999997,97.524,Forward,27.5,4.75,14.7,1.7,4.1,0.41,0.8,1.7,0.457,0.9,2.4,0.377,0.9,1.2,0.737,0.3,0.3,0.3,5.2,0.6,1.8,2.4,0.5,4,2014,2017,FALSE
Cole Israelson,2.0574,127.008,Center,7.5,0,1.9,0.2,0.6,0.333,0.2,0.6,0.333,0,0,0,0.3,0.4,0.667,0,0,0.1,0.7,0.1,0.3,0.5,0.1,2,2015,2017,FALSE
Taishi Ito,1.8288,81.648,Guard,28.75,10,18.7,1,3.1,0.313,0.4,1.3,0.338,0.5,1.8,0.295,0.9,1.2,0.736,2,0.6,0,3.4,0.2,1,1.2,1.3,4,2007,2010,FALSE
Ilija Ivankovic,2.0827999999999998,111.132,Center,5,0,5.4,0.3,0.7,0.429,0.3,0.7,0.429,0,0,0,0.1,0.1,1,0.2,0,0,0.7,0.5,0.7,1.2,0,2,2012,2013,FALSE
Chip Ivany,1.8288,70.308,Guard,7.333333333333333,0,1.5,0.1,0.5,0.25,0.1,0.3,0.429,0,0.2,0,0,0.1,0,0.1,0,0,0.3,0.1,0.3,0.4,0.4,3,2008,2010,FALSE
Colton Iverson,2.0827999999999998,118.3896,Forward,26.6,15.4,20.8,2.8,5.2,0.546,2.8,5.2,0.546,0,0,0,1.9,3.4,0.564,0.9,0.4,0.9,7.6,2.1,3.7,5.7,1.6,5,2009,2013,TRUE
Khalil Iverson,1.9558,98.4312,Forward,33.75,16.5,20.6,2.1,3.9,0.532,2,3.5,0.58,0.1,0.4,0.127,1.2,2,0.62,1,0.6,0.6,5.4,1.3,2.4,3.7,1.2,4,2016,2019,FALSE
