name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,school,seasons,start_season,end_season,drafted
Kevin Hicks,1.8034,76.2048,Guard,20.0,4.5,14.2,1.3,3.8,0.338,0.5,1.0,0.474,0.8,2.8,0.338,0.7,0.8,0.9,0.4,0.2,0.0,4.1,0.3,0.9,1.2,0.3,Sacramento State,2.0,2018,2019,False
Dera Nd-Ezuma,2.0828,97.524,Center,24.0,7.5,7.8,0.8,1.6,0.49,0.8,1.5,0.493,0.0,0.0,0.49,0.3,0.4,0.5710000000000001,0.2,0.2,0.5,1.8,0.5,0.8,1.3,0.5,Rider,4.0,2010,2013,False
Demarcus Blunt,1.9558,97.524,Guard,3.0,3.0,16.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.25,1.3,2.0,0.667,1.0,1.0,0.0,3.3,0.7,1.0,1.7,1.7,Grambling,1.0,2010,2010,False
Jeremy Nash,1.905,86.6376,Guard,27.75,8.75,21.5,1.6,4.2,0.385,1.0,2.2,0.481,0.6,2.1,0.385,1.1,1.4,0.774,1.6,1.2,0.3,4.9,0.7,1.8,2.6,0.8,Northwestern,4.0,2007,2010,False
Keegan Bell,1.8542,83.916,Guard,26.2,19.0,27.9,2.2,6.6,0.339,0.8,1.8,0.444,1.4,4.8,0.339,1.0,1.4,0.713,4.8,0.7,0.0,6.9,0.4,2.3,2.7,2.4,Overall,5.0,2008,2012,False
Demontrae Jefferson,1.7018,68.04,Guard,27.5,24.5,34.8,6.1,15.1,0.402,3.8,8.9,0.4320000000000001,2.3,6.3,0.402,4.3,5.5,0.773,3.8,1.2,0.0,18.7,0.6,2.0,2.6,3.1,Texas Southern,2.0,2017,2018,False
Harrison Hawkins,1.8288,77.112,Guard,23.5,17.0,26.0,4.2,10.0,0.418,2.4,5.4,0.455,1.7,4.6,0.418,2.6,3.1,0.818,2.1,0.9,0.1,12.7,0.3,1.3,1.6,2.6,Abilene Christian,2.0,2014,2015,False
Obi Enechionyia,2.032,99.792,Forward,32.5,23.25,26.5,3.5,8.6,0.41,2.0,4.4,0.452,1.5,4.2,0.41,1.4,1.9,0.743,0.8,0.5,1.3,10.0,1.3,3.4,4.7,1.0,Temple,4.0,2015,2018,False
Ken Uhlar,1.9812,97.524,Forward,7.0,1.0,4.4,0.3,1.0,0.28600000000000003,0.3,1.0,0.28600000000000003,0.0,0.0,0.28600000000000003,0.0,0.1,0.0,0.3,0.0,0.0,0.6,0.9,0.4,1.3,0.1,New Hampshire,1.0,2017,2017,False
A.J. Bowers,1.9558,83.4624,Forward,14.0,0.0,5.3,0.2,0.3,0.75,0.2,0.2,1.0,0.0,0.1,0.75,0.1,0.1,1.0,0.1,0.1,0.1,0.6,0.4,0.6,1.0,0.3,Chattanooga,1.0,2018,2018,False
